"paper_method","project","dataset","seed","epochs","runtime_mins","run_id","raw_method","ppo_used"
"StablePrompt-RAE","GFB_BBH_TG","DYCK_LANGUAGES","6.0","30.0","50.37","ffzndnn1","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","GENDER_INCLUSIVE_SENTENCES_GERMAN","6.0","30.0","27.53","fmtbdpa1","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","OBJECT_COUNTING","6.0","30.0","43.85","6pwujuxz","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","OPERATORS","6.0","30.0","27.82","qbgo9hwi","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","TENSE","6.0","30.0","27.57","r7ip6xtm","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","WORD_SORTING","6.0","30.0","51.65","ra87j2cd","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","LINGUISTICS_PUZZLES","6.0","30.0","98.12","o6uxx5nt","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","DYCK_LANGUAGES","42.0","30.0","26","xc2ru121","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","GENDER_INCLUSIVE_SENTENCES_GERMAN","42.0","30.0","14.8","gkyu1xzs","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","OBJECT_COUNTING","42.0","30.0","22.3","9507jo8a","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","OPERATORS","42.0","30.0","15.28","6q2vxts4","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","TENSE","42.0","30.0","15.62","cna5wybg","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","WORD_SORTING","42.0","30.0","34.7","zgcres3n","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","LINGUISTICS_PUZZLES","42.0","30.0","49.42","uyejcly5","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","DYCK_LANGUAGES","3.0","30.0","24.73","5bdbbwi8","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","GENDER_INCLUSIVE_SENTENCES_GERMAN","3.0","30.0","14.73","zwm8j19t","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","OBJECT_COUNTING","3.0","30.0","24.13","aaqnezo5","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","OPERATORS","3.0","30.0","14.88","ogf6bfgl","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","TENSE","3.0","30.0","15.43","dutllpid","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","WORD_SORTING","3.0","30.0","26.57","05k2kbgv","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TG","LINGUISTICS_PUZZLES","3.0","30.0","49.62","1ixj66ej","StablePrompt-PPO","True"
"StablePrompt-RAE","GFB_BBH_TC","CAUSAL_JUDGMENT","6.0","30.0","10.18","y2ydgvl8","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","DISAMBIGUATION_QA","6.0","30.0","5.97","r8qlxkc4","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","EPISTEMIC_REASONING","6.0","30.0","13.98","r3vvwxpj","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","HYPERBATON","6.0","30.0","180.35","14zg18u6","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","IMPLICATURES","6.0","30.0","6.55","ksx8y9jy","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","LOGICAL_FALLACY_DETECTION","6.0","30.0","16.22","fvhnjwlj","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","MOVIE_RECOMMENDATION","6.0","30.0","7.2","zimp4cmn","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","NAVIGATE","6.0","30.0","9.17","apdt56ms","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","PRESUPPOSITIONS_AS_NLI","6.0","30.0","9.68","i9szapae","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","RUIN_NAMES","6.0","30.0","6.38","3o59odpe","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","SNARKS","6.0","30.0","5.87","faszx9c1","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","SPORTS_UNDERSTANDING","6.0","30.0","8.75","cx0pa5la","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","WINOWHY","6.0","30.0","16.8","hsea8m19","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","CAUSAL_JUDGMENT","42.0","30.0","9.88","36yty5dn","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","DISAMBIGUATION_QA","42.0","30.0","5.93","a71p7qju","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","EPISTEMIC_REASONING","42.0","30.0","14.18","561l7n56","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","CAUSAL_JUDGMENT","42.0","30.0","4.85","ltszaqhh","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","DISAMBIGUATION_QA","42.0","30.0","3.23","gj5ojk6z","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","EPISTEMIC_REASONING","42.0","30.0","7.15","owkfpnar","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","HYPERBATON","42.0","30.0","91.22","zyb9fw93","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","IMPLICATURES","42.0","30.0","3.63","6uvgjp5t","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","LOGICAL_FALLACY_DETECTION","42.0","30.0","7.98","6abr4qgv","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","MOVIE_RECOMMENDATION","42.0","30.0","3.83","s5irekl3","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","NAVIGATE","42.0","30.0","4.78","9aeq180t","Unknown","True"
"StablePrompt-RAE","GFB_BBH_TC","PRESUPPOSITIONS_AS_NLI","42.0","30.0","4.92","f0n1l9sk","Unknown","True"
