model,task,method,kind,source_type,source,display_name,n_points,best_val,test_score,test_selection,test_source,x_axis,x_source,test_x_rollout,test_x_source
GPT-4.1-mini,AIME-2025,Baseline,point_only,log,/root/gepa/gepa-artifact/logs/aime_20260426_184111.log,,0,,40.0,summary_or_log_test_score,/root/gepa/gepa-artifact/logs/aime_20260426_184111.log,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,150,final_test_rollouts_only_optimizer_budget_unknown
GPT-4.1-mini,AIME-2025,FSPO,curve,wandb_history,/root/gepa/wandb/run-20260515_160836-mwjwwnoh/run-mwjwwnoh.wandb,origin_gpt_nobase_fixed15val_64t_20iter_3shot_top1,20,80.0,48.0,top5_rank1,/root/gepa/wandb/run-20260515_160836-mwjwwnoh,rollout,fspo_validation_examples_per_iteration=15,450,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,AIME-2025,GEPA,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA_gpt-41-mini-openrouter/wandb/wandb/run-20260515_201705-bvfoz7jp/run-bvfoz7jp.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/AIMEBench_CoT_GEPA_gpt-41-mini-openrouter,30,53.33,50.0,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA_gpt-41-mini-openrouter0/wandb/wandb/run-20260428_073502-1ksi41t3/run-1ksi41t3.wandb,rollout,max_metric_calls_budget=1839,1989,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,AIME-2025,GEPA+Merge,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter/wandb/wandb/run-20260515_125741-ynnskjep/run-ynnskjep.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter,31,55.56,50.0,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_GEPA-MERGE_gpt-41-mini-openrouter0/wandb/wandb/run-20260427_234139-odskvw73/run-odskvw73.wandb,rollout,max_metric_calls_budget=1839,1989,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,AIME-2025,MIPROv2-Heavy,curve,zip_mipro_run_log,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/AIMEBench_CoT_MIPROv2-Heavy_gpt-41-mini-openrouter/run_log.txt,experiment_runs/seed_0/AIMEBench_CoT_MIPROv2-Heavy_gpt-41-mini-openrouter,29,60.0,46.67,summary_or_log_test_score,/root/gepa/gepa-artifact/logs/aime_20260426_191343.log,rollout,max_metric_calls_budget=1839,1989,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,HotpotQA,Baseline,point_only,log,/root/gepa/gepa-artifact/logs/hotpotqa_20260426_184110.log,,0,,35.33,summary_or_log_test_score,/root/gepa/gepa-artifact/logs/hotpotqa_20260426_184110.log,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,300,final_test_rollouts_only_optimizer_budget_unknown
GPT-4.1-mini,HotpotQA,FSPO,curve,wandb_history,/root/gepa/wandb/run-20260520_201034-di81tvvd/run-di81tvvd.wandb,hotpot_fixed_gpt_subset50_20iter,20,68.0,65.0,history_test_score_last,,rollout,fspo_validation_examples_per_iteration=50,1300,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,Hover,Baseline,point_only,log,/root/gepa/gepa-artifact/logs/hover.log,,0,,43.67,summary_or_log_test_score,/root/gepa/gepa-artifact/logs/hover.log,test_only_rollout,final_test_only_rollouts_optimizer_budget_unknown,300,final_test_rollouts_only_optimizer_budget_unknown
GPT-4.1-mini,Hover,GEPA,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA_gpt-41-mini-openrouter/wandb/wandb/run-20260427_130031-r11de69j/run-r11de69j.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA_gpt-41-mini-openrouter,20,54.0,50.33,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA_gpt-41-mini-openrouter/wandb/wandb/run-20260427_153953-grkqqy50/run-grkqqy50.wandb,rollout,max_metric_calls_budget=7051,7351,last_validation_rollout_plus_final_test_rollouts
GPT-4.1-mini,Hover,GEPA+Merge,curve,zip_wandb_history,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA-MERGE_gpt-41-mini-openrouter/wandb/wandb/run-20260427_110004-lo5sbuxv/run-lo5sbuxv.wandb,/home/jovyan/gepa-artifact/experiment_runs_data/experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA-MERGE_gpt-41-mini-openrouter,21,52.67,49.67,zip_final_eval_test_score,/root/gepa/experiment_runs_data.zip:experiment_runs/seed_0/hoverBench_HoverMultiHop_GEPA-MERGE_gpt-41-mini-openrouter/wandb/wandb/run-20260427_124501-lgwdl9nf/run-lgwdl9nf.wandb,rollout,max_metric_calls_budget=7051,7351,last_validation_rollout_plus_final_test_rollouts
