"dataset","paper_method","gpu","seed","epochs","runtime_mins","run_id","project","run_name","raw_method","ppo_used"
"ABSTRACT_ALGEBRA","StablePrompt-PPO","A100","3.0","30.0","4.42","1mvbx7nz","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ABSTRACT_ALGEBRA","StablePrompt-PPO","A100","42.0","30.0","4.1","wzpg5dqm","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"ABSTRACT_ALGEBRA","StablePrompt-PPO","A100","42.0","30.0","4.27","idb2logj","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ABSTRACT_ALGEBRA","StablePrompt-PPO","A100","42.0","30.0","2.43","4cumdblz","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"ABSTRACT_ALGEBRA","StablePrompt-PPO","A100","42.0","30.0","4.27","vt9nbbf3","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"ACTIVE_TO_PASSIVE","StablePrompt-PPO","A100","3.0","30.0","6.5","e2aq8jh5","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3_re","StablePrompt-PPO","True"
"ACTIVE_TO_PASSIVE","StablePrompt-PPO","A100","3.0","30.0","7.25","fyfy2gnl","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3","StablePrompt-PPO","True"
"ACTIVE_TO_PASSIVE","StablePrompt-PPO","A100","42.0","30.0","7.4","ij8svrex","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s42","StablePrompt-PPO","True"
"ACTIVE_TO_PASSIVE","StablePrompt-PPO","A100","6.0","100.0","38.22","1zp7vl6s","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"ACTIVE_TO_PASSIVE","StablePrompt-PPO","A100","6.0","200.0","74.88","xwgposix","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"ACTIVE_TO_PASSIVE","StablePrompt-PPO","A100","6.0","30.0","7.23","rq1768pz","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"ANATOMY","StablePrompt-PPO","A100","3.0","30.0","4.38","i8pwlpik","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s3_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ANATOMY","StablePrompt-PPO","A100","42.0","30.0","4.38","xak3hkdf","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs4_top5","StablePrompt-PPO(cs=0.05)","True"
"ANATOMY","StablePrompt-PPO","A100","42.0","30.0","2.62","3z3v5bbz","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.05)","True"
"ANATOMY","StablePrompt-PPO","A100","42.0","30.0","4.58","6ffo0w6o","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0)","True"
"ANATOMY","StablePrompt-PPO","A100","42.0","30.0","4.62","wp7qa3zq","GFB_QA","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_s42_bs5_top5","StablePrompt-PPO(cs=0.1)","True"
"ANTONYMS","StablePrompt-PPO","A100","3.0","30.0","6.47","t3p5qnyz","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3_re","StablePrompt-PPO","True"
"ANTONYMS","StablePrompt-PPO","A100","3.0","30.0","7.4","kobihwdb","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s3","StablePrompt-PPO","True"
"ANTONYMS","StablePrompt-PPO","A100","42.0","30.0","7.22","e3e9jxpa","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s42","StablePrompt-PPO","True"
"ANTONYMS","StablePrompt-PPO","A100","6.0","100.0","37.95","vh2r1ee7","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"ANTONYMS","StablePrompt-PPO","A100","6.0","200.0","75.78","ooeqfdwi","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
"ANTONYMS","StablePrompt-PPO","A100","6.0","30.0","7.25","x1w1zuh1","GFB_II","gemma-1.1-7b-it_TO_gemma-1.1-7b-it_bs16_top5_s6","StablePrompt-PPO","True"
