model_short,task,run_id,run_name,score,clean,overlap_run_ids,has_tokens,input_tokens,output_tokens,estimated_cost_usd
GPT-4.1-mini,AIME-2025,13xynbot,dynamic_fewshot_gpt41mini_20iter_3shot,0.5,True,,False,,,
GPT-4.1-mini,AIME-2025,mwjwwnoh,origin_gpt_nobase_fixed15val_64t_20iter_3shot_top1,0.48,True,,False,,,
GPT-4.1-mini,HotpotQA,89wk61np,hotpot_gpt_subset50_20iter,59.0,True,,False,,,
GPT-4.1-mini,Hover,wqp8lojs,dynamic_fewshot_gpt41mini_20iter_3shot,0.4567,True,,False,,,
GPT-4.1-mini,IFBench,w5dkndzl,dynamic_fewshot_gpt41mini_20iter_3shot,0.7585,True,,False,,,
GPT-4.1-mini,IFBench,0tv7woty,dynamic_fewshot_gpt41mini_20iter_3shot,0.5153,True,,False,,,
GPT-4.1-mini,IFBench,oz2skszd,dynamic_fewshot_gpt41mini_20iter_3shot,0.4881,True,,False,,,
GPT-4.1-mini,LiveBench-Math,h6lucked,dynamic_fewshot_20iter_3shot,0.2698,True,,False,,,
GPT-4.1-mini,LiveBench-Math,fm6705r5,dynamic_fewshot_20iter_3shot,0.0,False,kcqy5zvi,False,,,
GPT-4.1-mini,LiveBench-Math,kcqy5zvi,dynamic_fewshot_20iter_3shot,0.0,False,fm6705r5,False,,,
GPT-4.1-mini,PUPA,p16uyuga,pupa_gpt_nobase_subset45_20iter,94.09,True,,True,6325719.0,2018796.0,5.7603612
GPT-4o-mini,HotpotQA,ssdrk8c5,hotpot_gpt_subset50_20iter,29.67,True,,False,,,
GPT-4o-mini,PUPA,8w0rp3f1,pupa_gpt_nobase_subset45_20iter,85.54,False,lxu11kps,True,5096511.0,1402620.0,1.60604865
GPT-4o-mini,PUPA,lxu11kps,pupa_gpt_nobase_subset45_20iter,87.77,False,8w0rp3f1,False,,,
Qwen3-8B,AIME-2025,wmst5cop,dynamic_fewshot_20iter_3shot,0.0,True,,False,,,
Qwen3-8B,AIME-2025,vwwcv2b0,dynamic_fewshot_20iter_3shot,0.5533,False,9ogkl1i5;7jl5dta0,False,,,
Qwen3-8B,AIME-2025,8v2qjgrx,dspy_qwen3-8b_math-specific_fixed45val_20iter_3shot,0.5333,False,bkpxngx5,False,,,
Qwen3-8B,AIME-2025,86zmx5b0,dspy_qwen3-8b_math-specific_fixed15val_nothink_20iter_3shot_top1,0.4733,False,4436w5h5,False,,,
Qwen3-8B,AIME-2025,bkpxngx5,dspy_qwen3-8b_math-specific_fixed15val_20iter_3shot,0.46,False,8v2qjgrx,False,,,
Qwen3-8B,HotpotQA,trvbqp3c,hotpot_qwen_subset50_20iter,61.33,True,,False,,,
Qwen3-8B,Hover,aa8u5puv,dynamic_fewshot_qwen3_8b_20iter_3shot,0.44,False,bfmewlrg,False,,,
Qwen3-8B,IFBench,9ogkl1i5,dynamic_fewshot_qwen3_8b_20iter_3shot,0.7193999999999999,False,vwwcv2b0,False,,,
Qwen3-8B,IFBench,bfmewlrg,dynamic_fewshot_qwen3_8b_20iter_3shot,0.4388,False,aa8u5puv,False,,,
Qwen3-8B,IFBench,8z2rfgr7,dynamic_fewshot_qwen3_8b_20iter_3shot,0.4082,False,r9104ny9,False,,,
Qwen3-8B,IFBench,r9104ny9,dynamic_fewshot_qwen3_8b_20iter_3shot,0.3895,False,8z2rfgr7,False,,,
Qwen3-8B,LiveBench-Math,b6iz2dax,dynamic_fewshot_20iter_3shot,0.6667000000000001,True,,False,,,
Qwen3-8B,LiveBench-Math,gs527dox,dynamic_fewshot_20iter_3shot,0.3889,True,,False,,,
Qwen3-8B,LiveBench-Math,prmdtdw1,dynamic_fewshot_2iter_3shot,0.3175,True,,False,,,
Qwen3-8B,LiveBench-Math,qy66amuq,dynamic_fewshot_20iter_3shot,0.3571,False,1fm6356x,False,,,
Qwen3-8B,LiveBench-Math,1fm6356x,ablation_nofewshot_20iter,0.3333,False,qy66amuq,False,,,
Qwen3-8B,LiveBench-Math,4436w5h5,dynamic_fewshot_20iter_3shot,0.3333,False,86zmx5b0,False,,,
Qwen3-8B,LiveBench-Math,f8p7kmt5,ablation_nofewshot_20iter,0.3095,False,xji9z2aa,False,,,
Qwen3-8B,LiveBench-Math,7jl5dta0,dynamic_fewshot_20iter_3shot,0.3016,False,vwwcv2b0,False,,,
Qwen3-8B,LiveBench-Math,xji9z2aa,dynamic_fewshot_20iter_3shot,0.2937,False,f8p7kmt5,False,,,
Qwen3-8B,PUPA,n7o1crf6,pupa_qwen_nobase_subset45_20iter,90.02,False,3y0tizlv;tituojj7,False,,,
Qwen3-8B,PUPA,tituojj7,pupa_qwen_nobase_subset45_20iter,85.76,False,3y0tizlv;n7o1crf6,False,,,
Qwen3-8B,PUPA,3y0tizlv,pupa_qwen_nobase_dual_20iter,85.52,False,n7o1crf6;tituojj7,False,,,
